dataset,seed_a,seed_b,layer_i,layer_j,same_depth,metric,value
mnist,123,456,2,4,False,svcca,0.6687851559592206
mnist,123,456,2,4,False,pwcca,0.8923976660240767
mnist,123,456,3,1,False,cka,0.8892850875854492
mnist,123,456,3,1,False,cosine,0.44622132182121277
mnist,123,456,3,1,False,svcca,0.6493645630867825
mnist,123,456,3,1,False,pwcca,0.9275114489611052
mnist,123,456,3,2,False,cka,0.9458391666412354
mnist,123,456,3,2,False,cosine,0.4974825978279114
mnist,123,456,3,2,False,svcca,0.6785414554422369
mnist,123,456,3,2,False,pwcca,0.9388518907732727
mnist,123,456,3,3,True,cka,0.9535335898399353
mnist,123,456,3,3,True,cosine,0.4369148313999176
mnist,123,456,3,3,True,svcca,0.6768814260908175
mnist,123,456,3,3,True,pwcca,0.9409769179741068
mnist,123,456,3,4,False,cka,0.9551640748977661
mnist,123,456,3,4,False,cosine,0.4386405944824219
mnist,123,456,3,4,False,svcca,0.6821258623718284
mnist,123,456,3,4,False,pwcca,0.9419054751472375
mnist,123,456,4,1,False,cka,0.8593479990959167
mnist,123,456,4,1,False,cosine,0.4257136583328247
mnist,123,456,4,1,False,svcca,0.6293553437465282
mnist,123,456,4,1,False,pwcca,0.9324694187553498
mnist,123,456,4,2,False,cka,0.9293637275695801
mnist,123,456,4,2,False,cosine,0.48181039094924927
mnist,123,456,4,2,False,svcca,0.6628391520512568
mnist,123,456,4,2,False,pwcca,0.9452830914661061
mnist,123,456,4,3,False,cka,0.944338321685791
mnist,123,456,4,3,False,cosine,0.4926919639110565
mnist,123,456,4,3,False,svcca,0.6724585806056413
mnist,123,456,4,3,False,pwcca,0.9507258384787454
mnist,123,456,4,4,True,cka,0.9575402140617371
mnist,123,456,4,4,True,cosine,0.43109893798828125
mnist,123,456,4,4,True,svcca,0.6942951675309642
mnist,123,456,4,4,True,pwcca,0.954873819806976
fashion_mnist,42,123,1,1,True,cka,0.9651513695716858
fashion_mnist,42,123,1,1,True,cosine,0.3924733102321625
fashion_mnist,42,123,1,1,True,svcca,0.6844695874121371
fashion_mnist,42,123,1,1,True,pwcca,0.9202383116045866
fashion_mnist,42,123,1,2,False,cka,0.9394370317459106
fashion_mnist,42,123,1,2,False,cosine,0.44110485911369324
fashion_mnist,42,123,1,2,False,svcca,0.687732122431807
fashion_mnist,42,123,1,2,False,pwcca,0.9190032577528044
fashion_mnist,42,123,1,3,False,cka,0.901422381401062
fashion_mnist,42,123,1,3,False,cosine,0.4207945168018341
fashion_mnist,42,123,1,3,False,svcca,0.666168765344746
fashion_mnist,42,123,1,3,False,pwcca,0.908913332662468
fashion_mnist,42,123,1,4,False,cka,0.8692217469215393
fashion_mnist,42,123,1,4,False,cosine,0.41662052273750305
fashion_mnist,42,123,1,4,False,svcca,0.6208771450252495
fashion_mnist,42,123,1,4,False,pwcca,0.8931002093213853
fashion_mnist,42,123,2,1,False,cka,0.9226652383804321
fashion_mnist,42,123,2,1,False,cosine,0.4326450228691101
fashion_mnist,42,123,2,1,False,svcca,0.6667489459918036
fashion_mnist,42,123,2,1,False,pwcca,0.9415268568281049
fashion_mnist,42,123,2,2,True,cka,0.9205619692802429
fashion_mnist,42,123,2,2,True,cosine,0.42141488194465637
fashion_mnist,42,123,2,2,True,svcca,0.7000839948695506
fashion_mnist,42,123,2,2,True,pwcca,0.950173363274405
fashion_mnist,42,123,2,3,False,cka,0.8987594842910767
fashion_mnist,42,123,2,3,False,cosine,0.3969797194004059
fashion_mnist,42,123,2,3,False,svcca,0.6904515284890601
fashion_mnist,42,123,2,3,False,pwcca,0.9476401172040817
fashion_mnist,42,123,2,4,False,cka,0.8735604882240295
fashion_mnist,42,123,2,4,False,cosine,0.39907726645469666
fashion_mnist,42,123,2,4,False,svcca,0.6632288440678287
fashion_mnist,42,123,2,4,False,pwcca,0.9166121210302528
fashion_mnist,42,123,3,1,False,cka,0.8805947303771973
fashion_mnist,42,123,3,1,False,cosine,0.41830170154571533
fashion_mnist,42,123,3,1,False,svcca,0.6532093915522281
fashion_mnist,42,123,3,1,False,pwcca,0.8826674493286046
fashion_mnist,42,123,3,2,False,cka,0.8976991176605225
