dataset,seed,layer_i,layer_j,layer_distance,metric,value
fashion_mnist,456,2,4,2,cosine,0.4603045582771301
fashion_mnist,456,2,4,2,svcca,0.7062254513438414
fashion_mnist,456,2,4,2,pwcca,0.9492990112354299
fashion_mnist,456,3,1,2,cka,0.9117138385772705
fashion_mnist,456,3,1,2,cosine,0.41538673639297485
fashion_mnist,456,3,1,2,svcca,0.7052990737331726
fashion_mnist,456,3,1,2,pwcca,0.9027923125137105
fashion_mnist,456,3,2,1,cka,0.9791077971458435
fashion_mnist,456,3,2,1,cosine,0.453721821308136
fashion_mnist,456,3,2,1,svcca,0.7407431673889135
fashion_mnist,456,3,2,1,pwcca,0.9731795521169679
fashion_mnist,456,3,3,0,cka,1.0000001192092896
fashion_mnist,456,3,3,0,cosine,1.0
fashion_mnist,456,3,3,0,svcca,0.9999996670604306
fashion_mnist,456,3,3,0,pwcca,0.9999999815144167
fashion_mnist,456,3,4,1,cka,0.9617766737937927
fashion_mnist,456,3,4,1,cosine,0.40970566868782043
fashion_mnist,456,3,4,1,svcca,0.7509203956872749
fashion_mnist,456,3,4,1,pwcca,0.9720989000848572
fashion_mnist,456,4,1,3,cka,0.8219661712646484
fashion_mnist,456,4,1,3,cosine,0.381885826587677
fashion_mnist,456,4,1,3,svcca,0.6699475692086646
fashion_mnist,456,4,1,3,pwcca,0.8885350179327298
fashion_mnist,456,4,2,2,cka,0.9078611731529236
fashion_mnist,456,4,2,2,cosine,0.4603045582771301
fashion_mnist,456,4,2,2,svcca,0.7062254513438366
fashion_mnist,456,4,2,2,pwcca,0.9754571383051281
fashion_mnist,456,4,3,1,cka,0.9617766737937927
fashion_mnist,456,4,3,1,cosine,0.40970566868782043
fashion_mnist,456,4,3,1,svcca,0.7509203956873034
fashion_mnist,456,4,3,1,pwcca,0.982704591456703
fashion_mnist,456,4,4,0,cka,1.0
fashion_mnist,456,4,4,0,cosine,1.0
fashion_mnist,456,4,4,0,svcca,0.9999981383061692
fashion_mnist,456,4,4,0,pwcca,0.9999999450392159
cifar10,42,1,1,0,cka,1.0000003576278687
cifar10,42,1,1,0,cosine,1.0
cifar10,42,1,1,0,svcca,0.9999999900133896
cifar10,42,1,1,0,pwcca,0.9999999984867219
cifar10,42,1,2,1,cka,0.9543846249580383
